phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.8473597168922424,0.730388343334198,0.9359233975410461,0.26223310828208923,0.0010000000474974513
head,2,0.9245890974998474,0.2751407325267792,0.9506536722183228,0.1874299794435501,0.0010000000474974513
head,3,0.9401960968971252,0.20766578614711761,0.9604124426841736,0.14896152913570404,0.0010000000474974513
head,4,0.9453294277191162,0.1816764771938324,0.9587553143501282,0.13921961188316345,0.0010000000474974513
head,5,0.9476773738861084,0.16985638439655304,0.962253749370575,0.12557393312454224,0.0010000000474974513
head,6,0.9512453675270081,0.15361367166042328,0.9655680060386658,0.1210361123085022,0.0010000000474974513
head,7,0.9532480239868164,0.15087203681468964,0.9644632935523987,0.1193009614944458,0.0010000000474974513
head,8,0.954721212387085,0.14051908254623413,0.962253749370575,0.11285018175840378,0.0010000000474974513
finetune,1,0.9607522487640381,0.12171100825071335,0.972196638584137,0.08903836458921432,9.999999747378752e-06
finetune,2,0.9653791189193726,0.10251548141241074,0.9745903015136719,0.08023061603307724,9.999999747378752e-06
finetune,3,0.9689931273460388,0.09506680071353912,0.9753268361091614,0.07399916648864746,9.999999747378752e-06
finetune,4,0.9712720513343811,0.08406677097082138,0.977168083190918,0.07025086134672165,9.999999747378752e-06
finetune,5,0.9729984998703003,0.08019270747900009,0.977168083190918,0.06723761558532715,9.999999747378752e-06
finetune,6,0.974402666091919,0.07541025429964066,0.9769839644432068,0.06393406540155411,9.999999747378752e-06
finetune,7,0.976290225982666,0.07081403583288193,0.9791935086250305,0.0613466314971447,9.999999747378752e-06
finetune,8,0.9795819520950317,0.06207693740725517,0.9795617461204529,0.06108793243765831,9.999999747378752e-06
