phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.9123198986053467,0.20774812996387482,0.952126681804657,0.12284115701913834,0.0010000000474974513
head,2,0.9371806383132935,0.15272094309329987,0.9366599321365356,0.15657001733779907,0.0010000000474974513
head,3,0.9407715797424316,0.14583271741867065,0.9651997685432434,0.09403610229492188,0.0010000000474974513
head,4,0.9431425929069519,0.1411571204662323,0.9628061056137085,0.09918833523988724,0.0010000000474974513
head,5,0.942866325378418,0.14062750339508057,0.9559933543205261,0.11452192068099976,0.0010000000474974513
finetune,1,0.963100254535675,0.09435711055994034,0.9779046177864075,0.06506595760583878,9.999999747378752e-06
finetune,2,0.9753234386444092,0.06308379024267197,0.9812189340591431,0.048512186855077744,9.999999747378752e-06
finetune,3,0.9810782074928284,0.04818220064043999,0.9819554686546326,0.050345174968242645,9.999999747378752e-06
finetune,4,0.9855899810791016,0.038089290261268616,0.9812189340591431,0.052035585045814514,9.999999747378752e-06
finetune,5,0.9873164296150208,0.033589206635951996,0.9876633882522583,0.03438330441713333,4.999999873689376e-06
