phase,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
head,1,0.8744763135910034,0.49536725878715515,0.9519425630569458,0.15977607667446136,0.0010000000474974513
head,2,0.9412780404090881,0.19765780866146088,0.9633585214614868,0.11371932178735733,0.0010000000474974513
head,3,0.9491966366767883,0.1664893925189972,0.9596759080886841,0.11839116364717484,0.0010000000474974513
head,4,0.9546291828155518,0.1485610455274582,0.9670410752296448,0.10143251717090607,0.0010000000474974513
head,5,0.9567469358444214,0.13958442211151123,0.9716442823410034,0.09063790738582611,0.0010000000474974513
head,6,0.9605681300163269,0.13068175315856934,0.9657521843910217,0.10539476573467255,0.0010000000474974513
head,7,0.961650013923645,0.12314270436763763,0.9769839644432068,0.07444511353969574,0.0010000000474974513
head,8,0.9620643854141235,0.12195346504449844,0.9705395102500916,0.09601937979459763,0.0010000000474974513
finetune,1,0.973689079284668,0.08136916160583496,0.9819554686546326,0.05350540578365326,9.999999747378752e-06
finetune,2,0.9802035093307495,0.06122872233390808,0.9843491315841675,0.046747852116823196,9.999999747378752e-06
finetune,3,0.983380138874054,0.049604933708906174,0.9858221411705017,0.03963986039161682,9.999999747378752e-06
finetune,4,0.9857510924339294,0.04400506243109703,0.9867427945137024,0.03643319755792618,9.999999747378752e-06
finetune,5,0.9874085187911987,0.03829619288444519,0.9878475666046143,0.0338309183716774,9.999999747378752e-06
finetune,6,0.9892500638961792,0.03495683893561363,0.9902412295341492,0.029142584651708603,9.999999747378752e-06
finetune,7,0.990838348865509,0.027727829292416573,0.9904253482818604,0.02967589721083641,9.999999747378752e-06
finetune,8,0.991828203201294,0.02658895216882229,0.9874792695045471,0.034713104367256165,9.999999747378752e-06
